Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Annual Revenue Share,Cumulative Share,Current Inventory Quantity,Reorder Yes or NO,Stock Status,ABC Classification,CV,XYZ Classification,CV Rank,ABC Rank,Safety Stock,Reorder Point,Average Demand,Store
haircare,SKU0,69.80800554,55,802,8661.996792,Non-binary,58,06-Jan-00,96,4,Carrier B,2.956572139,Supplier 3,Mumbai,28-Jan-00,215,28-Jan-00,46.27987924,Pending,0.226410361,Road,Route B,187.7520755,0.014996407,0.273612442,-529,Yes,Below Reorder point,A [High Value],0.376879498,X [Uniform Demand],20,17,17.97903643,250.5590364,8.02,1
skincare,SKU1,14.84352328,95,736,7460.900065,Female,53,29-Jan-00,37,2,Carrier A,9.716574771,Supplier 3,Mumbai,22-Jan-00,517,29-Jan-00,33.61676895,Pending,4.854068026,Road,Route B,503.0655791,0.012916963,0.567754583,-166,Yes,Below Reorder point,A [High Value],0.410675757,Y [Variable Demand],24,38,15.53791726,184.8179173,7.36,1
haircare,SKU2,11.31968329,34,8,9577.749626,Unknown,1,09-Jan-00,88,2,Carrier B,8.054479262,Supplier 1,Mumbai,11-Jan-00,971,26-Jan-00,30.68801935,Pending,4.580592619,Air,Route C,141.9202818,0.016581838,0.083767137,964,No,In Stock,A [High Value],37.78216963,Z [Uncertain Demand],100,5,745.8200286,746.7800286,0.08,1
skincare,SKU3,61.16334302,68,83,7766.836426,Non-binary,23,12-Jan-00,59,6,Carrier C,1.729568564,Supplier 5,Kolkata,23-Jan-00,937,17-Jan-00,35.6247414,Fail,4.746648621,Rail,Route A,254.7761592,0.013446627,0.51538298,877,No,In Stock,A [High Value],3.641654904,Z [Uncertain Demand],92,34,143.7725356,163.6925356,0.83,1
skincare,SKU4,4.805496036,26,871,2686.505152,Non-binary,5,02-Jan-00,56,8,Carrier A,3.890547916,Supplier 1,Delhi,04-Jan-00,414,02-Jan-00,92.0651606,Fail,3.145579523,Air,Route A,923.4406317,0.004651113,0.91693718,-452,Yes,Below Reorder point,C [Less Value],0.347023372,X [Uniform Demand],17,77,2.854267235,46.40426724,8.71,1
haircare,SKU5,1.699976014,87,147,2828.348746,Non-binary,90,26-Jan-00,66,3,Carrier B,4.444098864,Supplier 4,Bangalore,09-Jan-00,104,16-Jan-00,56.76647556,Fail,2.779193512,Road,Route A,235.4612367,0.004896685,0.907496733,47,Yes,Below Reorder point,C [Less Value],2.056172497,Z [Uncertain Demand],82,75,33.82403758,48.52403758,1.47,1
skincare,SKU6,4.078332863,48,65,7823.47656,Male,11,14-Jan-00,58,8,Carrier C,3.880763303,Supplier 3,Kolkata,13-Jan-00,314,23-Jan-00,1.08506857,Pending,1.000910619,Sea,Route A,134.3690969,0.013544687,0.501936353,260,No,In Stock,A [High Value],4.650113186,Z [Uncertain Demand],94,33,107.0921067,116.1921067,0.65,1
cosmetics,SKU7,42.95838438,59,426,8496.103813,Female,93,16-Jan-00,11,1,Carrier B,2.348338784,Supplier 4,Bangalore,21-Jan-00,564,00-Jan-00,99.4661086,Fail,0.398177187,Road,Route C,802.0563118,0.014709198,0.333042867,231,No,In Stock,A [High Value],0.709524312,Y [Variable Demand],49,21,25.67768486,119.3976849,4.26,1
cosmetics,SKU8,68.71759675,78,150,7517.363211,Female,5,09-Jan-00,15,7,Carrier C,3.404733857,Supplier 4,Mumbai,12-Jan-00,769,07-Jan-00,11.42302714,Pending,2.709862691,Sea,Route B,505.5571342,0.013014717,0.55483762,624,No,In Stock,A [High Value],2.015049047,Z [Uncertain Demand],81,37,43.09182387,62.59182387,1.5,1
skincare,SKU9,64.01573294,35,980,4971.145988,Unknown,14,26-Jan-00,83,1,Carrier A,7.166645291,Supplier 2,Chennai,28-Jan-00,963,22-Jan-00,47.95760163,Pending,3.844614479,Rail,Route B,995.9294615,0.008606483,0.822488706,-3,Yes,Below Reorder point,B [Medium Value],0.308425875,X [Uniform Demand],3,62,14.71345635,298.9134563,9.8,1
skincare,SKU10,15.70779568,11,996,2330.965802,Non-binary,51,12-Jan-00,80,2,Carrier C,8.673211211,Supplier 5,Kolkata,17-Jan-00,830,04-Jan-00,96.52735279,Pass,1.727313928,Road,Route B,806.1031777,0.004035572,0.960418235,-115,Yes,Below Reorder point,C [Less Value],0.303471242,X [Uniform Demand],1,87,8.985783477,188.2657835,9.96,1
skincare,SKU11,90.63545998,95,960,6099.944116,Female,46,22-Jan-00,60,1,Carrier A,4.523943124,Supplier 2,Kolkata,27-Jan-00,362,10-Jan-00,27.59236309,Pending,0.021169821,Air,Route A,126.7230334,0.010560757,0.697990895,-552,Yes,Below Reorder point,A [High Value],0.314851414,X [Uniform Demand],6,49,14.50205611,283.3020561,9.6,1
haircare,SKU12,71.21338908,41,336,2873.741446,Unknown,100,29-Jan-00,85,4,Carrier A,1.32527401,Supplier 4,Kolkata,02-Jan-00,563,02-Jan-00,32.32128621,Fail,2.161253748,Road,Route B,402.9687891,0.004975273,0.902600048,327,No,In Stock,C [Less Value],0.899575467,Z [Uncertain Demand],57,74,4.439404932,14.51940493,3.36,1
